Family,int2,Real,EIIP,PP,JustA,JustG
Varidnaviria,241.519179514236,277.61819201227047,5.012564040505458,215.32678584802585,90.0937959112792,96.36601056515448
Varidnaviria,318.22298803911576,385.7733336990652,5.803871405036399,285.29979605910387,131.48693978561474,112.3653445649567
Varidnaviria,377.39125770612327,498.07904640303946,5.569247330274854,347.9097550018632,170.96735392684764,107.41617193004373
Varidnaviria,25.700382143124955,30.322441687986082,0.5599591272675908,22.81109048925555,10.692108310757416,9.45792419171965
Varidnaviria,291.0312775226593,352.977123449692,5.3614679027960195,260.7553460872031,120.72969102641738,103.8689287425237
Varidnaviria,403.5568395447402,513.2101149272512,6.719967964222596,366.1238394440114,176.35461903910902,130.68206783836558
Varidnaviria,315.03421186956814,382.34922294311406,5.752427146167305,282.373711054043,130.2158996408622,111.355276582007
Varidnaviria,125.1225703994012,153.39190260604406,2.296979521032631,112.19760215087433,52.85980401804063,43.62888060630269
Varidnaviria,311.89159613684495,378.07832012306284,5.705305887219636,279.68571522844434,128.75751512563625,110.41015383568258
Varidnaviria,309.74927859218263,399.0918189463242,4.947167049727959,282.6845831339678,137.43309557957792,95.61099794399884
Varidnaviria,86.96575290777854,106.87190098788113,1.6591557316085748,77.2350191331552,37.118371091460595,31.25904036412965
Varidnaviria,310.8101739351605,403.77780517575854,4.84645800440304,284.8917759486079,138.99000358797215,93.46492875586549
Varidnaviria,324.48074745869883,423.69944763391084,4.977050724857749,298.61493112624385,145.80516010997533,95.9608773043455
Varidnaviria,390.9003705203848,525.3558095227829,5.388248050187777,363.6679750126942,179.52143943493337,103.25836457545725
Varidnaviria,332.93332091546176,414.846265093068,5.781887666836523,300.3785021974866,142.48993494758386,112.19156477638808
Varidnaviria,300.11430237390005,363.01245221439547,5.508466067761542,268.39670178719706,123.47168450389792,106.53502905941214
Varidnaviria,606.0155324472526,794.4056484840139,9.220788605743877,558.3429039263037,272.73354465970414,179.3766443954744
Varidnaviria,312.4783037367262,379.2597341866688,5.716031232996971,280.15736121174695,129.18614878647094,110.65570057786516
Varidnaviria,310.90251721984924,376.8928477163342,5.68606320343623,278.5357810582592,128.34731157653442,110.07217072011136
Varidnaviria,252.87956605101934,291.8374192144654,5.220739341450898,225.35611836684407,94.95106755365508,100.40900409885506
Varidnaviria,303.1648303582965,348.6776354687688,6.163015126668442,270.487001831949,114.56687767407344,118.87416724691573
Varidnaviria,126.78912344706829,157.17618709473882,2.29119600626543,113.59768127326278,54.04079012368877,43.492998544085786
Varidnaviria,126.95111845798763,156.57081255986768,2.2901852854551463,113.67592603607473,53.92214457528938,43.475857948367185
Varidnaviria,410.9316979705134,477.3953413069356,8.322973305605581,367.2447675530835,158.35570212290105,161.42799937608018
Varidnaviria,139.32071220948313,159.51777518488026,2.914698931771421,124.38950454868532,52.1798742405316,55.416110946966214
Varidnaviria,298.5847986516649,361.23333071746816,5.488552555922244,267.01947736161037,122.88109264837465,106.1639403130996
Varidnaviria,124.59850028587705,146.68178883659604,2.4856723885797005,111.36580098971737,49.75813719770588,47.22038260207522
Varidnaviria,150.80745838559585,172.9068934093875,3.1112070013413184,135.19161368558986,57.062153405932825,59.20646910324122
Varidnaviria,127.86990626064782,158.85379581125315,2.2897438590986336,116.47302211899509,55.01523969407401,43.303355690629196
Varidnaviria,308.5727786672831,373.26572054700165,5.647693940132608,275.89906424879734,127.14921360586597,109.2852828453487
Varidnaviria,135.0937092737974,154.4357996529808,2.8797405593030567,121.92245046114266,50.03075238979279,54.64511887459448
Varidnaviria,126.59209317043808,156.21469811290706,2.290682953999182,112.90014060782549,53.67684883589575,43.430084190103784
Varidnaviria,88.44586539529918,102.53061151793936,1.8142636676187618,77.38894929630875,34.30779196127797,34.175246649017474
Varidnaviria,316.299003506071,384.02564976756645,5.774757662316475,283.679003342357,130.8617630383328,111.76577153667918
Varidnaviria,316.5731075649854,384.7860221986102,5.776624658577352,283.9890971917132,131.04012303428675,111.80095871444709
Varidnaviria,428.0476335701133,512.2392587581948,8.168644642565601,379.87443164037734,172.75045978641913,158.78702462428595
Varidnaviria,231.21658633463306,266.9724099418072,4.7761224206508714,206.05303731629638,86.85174009278752,91.78913470548252
Varidnaviria,126.84555143367622,158.80253861651383,2.21620827833922,114.33638606648904,54.69643136989103,41.91885569865105
Varidnaviria,88.18241738352435,102.77561980759035,1.8125941879024179,77.1300680488292,34.20943510697403,34.1433218285482
Varidnaviria,148.69715397846014,176.77738079469398,2.9271072347430476,133.37659679234218,59.822879790208056,55.88364335171257
Varidnaviria,253.09970890571185,291.97522234408683,5.229538996118246,225.84069017204874,94.96484348749168,100.5948717544853
Varidnaviria,322.39244374829326,395.29224111732924,5.854013084809699,288.69747278089676,135.2255517030769,113.67409170271881
Varidnaviria,129.17264622205144,158.8624826190193,2.3552661384095734,116.02568845510237,54.59519955483811,44.6984029994501
Varidnaviria,393.9231190382638,523.9777585363335,5.709710824152277,364.61842255846943,179.9286557581883,110.05819858100394
Varidnaviria,119.80735697942741,142.72699452660146,2.229296932137653,105.07118779546184,48.427513509237876,42.218392984167835
Varidnaviria,298.51724222183003,364.42657815146896,5.209248812091256,266.7763631149882,123.83811281540355,100.49083129571223
Varidnaviria,315.0488633294592,382.20631965706775,5.75150498199284,282.5449649798338,130.1794368283274,111.34078960869206
Varidnaviria,457.72818402710715,554.0334560949622,8.431390319238933,410.0308758160096,188.61864827392884,164.1011722526732
Varidnaviria,138.57471629462714,158.19946071135894,2.91631048320744,123.71067577252873,51.61727735452674,55.42701707334055
